Target Gene Symbol,condition,n_sgrnas,gene_zscore,empirical_pvalue,FDR
RABGGTB,Jacquere A375,3,-9.16498906514217,1.2681866247584548e-82,7.558891008637542e-81
CALB2,Jacquere A375,3,-3.433696603053958,0.003369394193313317,0.02322025832670194
SLC5A2,Jacquere A375,3,-0.09013738777984971,0.4389717960859391,0.4787225531360891
RABGGTA,Jacquere A375,3,-6.063830593152323,4.3637572591887934e-14,5.691122635693117e-13
B4GALNT2,Jacquere A375,3,-2.0033939349609287,0.04011560598428198,0.15169415703949
RACGAP1,Jacquere A375,3,-4.498958882811751,0.00041730553548222364,0.00375362702729856
RABGEF1,Jacquere A375,3,-1.0835137089620477,0.13990643511281928,0.30087479531061856
CADPS2,Jacquere A375,3,0.06769577914985374,0.49570992689466314,0.49867107280983536
SLC52A3,Jacquere A375,3,1.118011750579161,0.12553816318860095,0.2853250090722926
SLC50A1,Jacquere A375,3,-1.6979884227878712,0.062194876070189274,0.19656137553371256
RAD51AP2,Jacquere A375,3,1.2320225215025307,0.09882842681806278,0.2516228892399716
RAD51AP1,Jacquere A375,3,-0.7422335958954709,0.21608619687259076,0.3696023341096028
SLC51A,Jacquere A375,3,1.5928778382293993,0.04132249363583404,0.1545171354675472
RAD51,Jacquere A375,3,-10.324481644816915,3.049006416880091e-125,9.953364178427485e-123
CADM3,Jacquere A375,3,-1.5932195053615177,0.07124341437338277,0.211353644096023
RAD50,Jacquere A375,4,-7.427759005869109,4.223845491250949e-36,8.074394367464313e-35
B4GALT1,Jacquere A375,3,0.33943650316375923,0.38687317530983745,0.4584915786431424
SLC51B,Jacquere A375,3,0.13921591152757554,0.4663262668620947,0.48895806965075667
RAD23B,Jacquere A375,3,-1.5189285517663134,0.07845537271297803,0.22252970595147198
RAD23A,Jacquere A375,3,-3.503154356346192,0.0030829276218364166,0.021673975662893835
CADM4,Jacquere A375,3,-2.6052121018955314,0.012773824024760365,0.06656379469091116
RAD21L1,Jacquere A375,3,-0.14044693116206253,0.4184449923840337,0.47085571011577115
SLC52A1,Jacquere A375,3,-1.1358804448368192,0.13056045008669714,0.29056612386643565
